KELAS,HARI,MATA_KULIAH,WAKTU,RUANG,DOSEN,Kode_Kelas
2KA09,Selasa,Matematika Sistem Informasi 1,3/4,E315,HENNY WIDOWATI FARIDA,2KA09
2KA09,Selasa,Matematika Lanjut 1 */**,7/8,E424,RIFKI KOSASIH,2KA09
2KA09,Kamis,Praktikum Komputasi Big Data,1/2,,TIM DOSEN,2KA09
2KA09,Kamis,Peng. Org. & Arst Komputer,6/7,D626,SUNNY ARIEF SUDIRO,2KA09
2KA09,Kamis,Sistem Basis Data 1 **,8/9/10,D626,MURNIYATI,2KA09
2KA09,Jum'at,Teknik Pemrog. Terstruktur **,3/4,E313,NANI MINTARSIH,2KA09
2KA09,Jum'at,Bahasa Inggris,7/8,E237,SUPRIATNOKO,2KA09
2KA10,Senin,Komputasi Big Data,,UGTV,TEAM TEACHING,2KA10
2KA10,Selasa,Sistem Basis Data 1 **,4/5/6,E218,YULI KARYANTI,2KA10
2KA10,Selasa,Matematika Sistem Informasi 1,7/8,E517,M. ABDUL RIVAI,2KA10
2KA10,Rabu,Peng. Org. & Arst Komputer,3/4,G122,VEGA VALENTINE,2KA10
2KA10,Rabu,Teknik Pemrog. Terstruktur **,5/6,G122,NANI MINTARSIH,2KA10
2KA10,Kamis,Bahasa Inggris,1/2,E516,AULIA HARIS FIRSTIYANTI,2KA10
2KA10,Kamis,Matematika Lanjut 1 */**,3/4,E516,SITI MAESAROH,2KA10
2KA10,Kamis,Manajemen & SIM 1 *,5/6,E516,CUT ASIANA GEMAWATY,2KA10
2KA10,Sabtu,Praktikum Komputasi Big Data,1/2,,TIM DOSEN,2KA10
2KA11,Senin,Komputasi Big Data,,UGTV,TEAM TEACHING,2KA11
2KA11,Selasa,Matematika Lanjut 1 */**,3/4,E448,RIFKI KOSASIH,2KA11
2KA11,Selasa,Peng. Org. & Arst Komputer,6/7,E123,TOPAN SUKMA SAPUTRA,2KA11
2KA11,Rabu,Manajemen & SIM 1 *,1/2,E323,TRINI SAPTARIANI,2KA11
2KA11,Rabu,Bahasa Inggris,3/4,E323,DWI NITISARI,2KA11
2KA11,Rabu,Sistem Basis Data 1 **,7/8/9,E423,BUNAWAN,2KA11
2KA11,Kamis,Matematika Sistem Informasi 1,3/4,E527,NURMA NUGRAHA,2KA11
2KA11,Kamis,Teknik Pemrog. Terstruktur **,5/6,E527,SITI SAIDAH,2KA11
2KA11,Sabtu,Praktikum Komputasi Big Data,1/2,,TIM DOSEN,2KA11
2KA12,Senin,Komputasi Big Data,,UGTV,TEAM TEACHING,2KA12
2KA12,Selasa,Matematika Lanjut 1 */**,1/2,E432,SANDY SURYO PRAYOGO,2KA12
2KA12,Selasa,Sistem Basis Data 1 **,4/5/6,E514,SUHARNI,2KA12
2KA12,Selasa,Peng. Org. & Arst Komputer,7/8,E514,SILVIA HARLENA,2KA12
2KA12,Selasa,Manajemen & SIM 1 *,9/10,E312,TRINI SAPTARIANI,2KA12
2KA12,Rabu,Matematika Sistem Informasi 1,1/2,E244,IRA DIANA SOLIHATI,2KA12
2KA12,Rabu,Bahasa Inggris,5/6,E128,DWI NITISARI,2KA12
2KA12,Rabu,Teknik Pemrog. Terstruktur **,7/8,E128,RANI PUSPITA,2KA12
2KA12,Kamis,Praktikum Komputasi Big Data,1/2,,TIM DOSEN,2KA12
2KA13,Senin,Komputasi Big Data,,UGTV,TEAM TEACHING,2KA13
2KA13,Selasa,Bahasa Inggris,5/6,E215,MIA PURWATI,2KA13
2KA13,Selasa,Sistem Basis Data 1 **,8/9/10,E216,YULI KARYANTI,2KA13
2KA13,Rabu,Manajemen & SIM 1 *,1/2,D633,ALI AKBAR,2KA13
2KA13,Rabu,Peng. Org. & Arst Komputer,3/4,D633,SUNNY ARIEF SUDIRO,2KA13
2KA13,Rabu,Matematika Lanjut 1 */**,7/8,D655,FENI ANDRIANI,2KA13
2KA13,Kamis,Praktikum Komputasi Big Data,3/4,,TIM DOSEN,2KA13
2KA13,Jum'at,Teknik Pemrog. Terstruktur **,1/2,E341,DINA AGUSTEN,2KA13
2KA13,Jum'at,Matematika Sistem Informasi 1,3/4,E341,M. ABDUL RIVAI,2KA13
2KA14,Senin,Komputasi Big Data,,UGTV,TEAM TEACHING,2KA14
2KA14,Selasa,Bahasa Inggris,1/2,G248,DYAH AMBAR WURYANDARI,2KA14
2KA14,Selasa,Manajemen & SIM 1 *,3/4,G248,MOHAMAD FUAD/ABDUL HAFIDH SIDIQ,2KA14
2KA14,Selasa,Matematika Sistem Informasi 1,5/6,G248,M. ABDUL RIVAI,2KA14
2KA14,Kamis,Sistem Basis Data 1 **,4/5/6,E313,YULIA CHALRI,2KA14
2KA14,Kamis,Peng. Org. & Arst Komputer,7/8,E313,TOPAN SUKMA SAPUTRA,2KA14
2KA14,Jum'at,Praktikum Komputasi Big Data,1/2,,TIM DOSEN,2KA14
2KA14,Jum'at,Teknik Pemrog. Terstruktur **,7/8,E423,DINA AGUSTEN,2KA14
2KA14,Jum'at,Matematika Lanjut 1 */**,9/10,E423,JULLYSAVA C AZIZ,2KA14
2KA15,Senin,Komputasi Big Data,,UGTV,TEAM TEACHING,2KA15
2KA15,Selasa,Praktikum Komputasi Big Data,1/2,,TIM DOSEN,2KA15
2KA15,Selasa,Bahasa Inggris,3/4,G222,DYAH AMBAR WURYANDARI,2KA15
2KA15,Selasa,Manajemen & SIM 1 *,5/6,G227,MOHAMAD FUAD/ABDUL HAFIDH SIDIQ,2KA15
2KA15,Kamis,Peng. Org. & Arst Komputer,1/2,E342,TOPAN SUKMA SAPUTRA,2KA15
2KA15,Kamis,Matematika Lanjut 1 */**,3/4,E342,AINI SURI TALITA,2KA15
2KA15,Jum'at,Sistem Basis Data 1 **,2/3/4,E348,HURNANINGSIH,2KA15
2KA15,Jum'at,Matematika Sistem Informasi 1,7/8,E414,BONANG WASPADADI LIGAR,2KA15
2KA15,Jum'at,Teknik Pemrog. Terstruktur **,9/10,E414,NANI MINTARSIH,2KA15
2KA16,Senin,Komputasi Big Data,,UGTV,TEAM TEACHING,2KA16
2KA16,Selasa,Praktikum Komputasi Big Data,1/2,,TIM DOSEN,2KA16
2KA16,Kamis,Matematika Lanjut 1 */**,1/2,E517,SITI MAESAROH,2KA16
2KA16,Kamis,Peng. Org. & Arst Komputer,3/4,E517,SUNNY ARIEF SUDIRO,2KA16
2KA16,Kamis,Bahasa Inggris,7/8,E334,SUGENG TRIYANTO,2KA16
2KA16,Jum'at,Teknik Pemrog. Terstruktur **,7/8,E317,NANI MINTARSIH,2KA16
2KA16,Jum'at,Matematika Sistem Informasi 1,9/10,E321,BONANG WASPADADI LIGAR,2KA16
2KA16,Sabtu,Manajemen & SIM 1 *,2/3,E238,MOHAMAD FUAD,2KA16
2KA16,Sabtu,Sistem Basis Data 1 **,4/5/6,E238,ROSDIANA,2KA16
2KA17,Senin,Komputasi Big Data,,UGTV,TEAM TEACHING,2KA17
2KA17,Selasa,Praktikum Komputasi Big Data,1/2,,TIM DOSEN,2KA17
2KA17,Rabu,Manajemen & SIM 1 *,3/4,E315,TRINI SAPTARIANI,2KA17
2KA17,Rabu,Matematika Sistem Informasi 1,5/6,E315,IRWAN SUSANTO,2KA17
2KA17,Rabu,Sistem Basis Data 1 **,8/9/10,E318,YULI KARYANTI,2KA17
2KA17,Kamis,Bahasa Inggris,3/4,E336,AULIA HARIS FIRSTIYANTI,2KA17
2KA17,Kamis,Matematika Lanjut 1 */**,6/7,E423,SITI MAESAROH,2KA17
2KA17,Sabtu,Teknik Pemrog. Terstruktur **,3/4,E324,BAGUS SETIADI GURMILANG,2KA17
2KA17,Sabtu,Peng. Org. & Arst Komputer,5/6,E324,AMARAN SHIDIQ,2KA17
2KA18,Senin,Komputasi Big Data,,UGTV,TEAM TEACHING,2KA18
2KA18,Selasa,Manajemen & SIM 1 *,3/4,E129,CAHYAWATI DIAH KUSUMARINI,2KA18
2KA18,Selasa,Matematika Lanjut 1 */**,5/6,E129,RIFKI KOSASIH,2KA18
2KA18,Selasa,Peng. Org. & Arst Komputer,9/10,E241,VEGA VALENTINE,2KA18
2KA18,Rabu,Sistem Basis Data 1 **,4/5/6,E242,MUJI SANTOSO,2KA18
2KA18,Rabu,Bahasa Inggris,8/9,E242,AKHMAD HAQIQI MA'MUN,2KA18
2KA18,Kamis,Teknik Pemrog. Terstruktur **,1/2,E323,RANI PUSPITA,2KA18
2KA18,Kamis,Matematika Sistem Informasi 1,5/6,E322,NURMA NUGRAHA,2KA18
2KA18,Jum'at,Praktikum Komputasi Big Data,3/4,,TIM DOSEN,2KA18
2KA19,Senin,Komputasi Big Data,,UGTV,TEAM TEACHING,2KA19
2KA19,Selasa,Sistem Basis Data 1 **,2/3/4,E511,YULIA CHALRI,2KA19
2KA19,Selasa,Manajemen & SIM 1 *,6/7,E313,CAHYAWATI DIAH KUSUMARINI,2KA19
2KA19,Selasa,Matematika Lanjut 1 */**,9/10,E246,RIFKI KOSASIH,2KA19
2KA19,Rabu,Bahasa Inggris,3/4,E516,ERNI HASTUTI,2KA19
2KA19,Rabu,Peng. Org. & Arst Komputer,6/7,E322,NOVRINA,2KA19
2KA19,Kamis,Matematika Sistem Informasi 1,1/2,E324,NURMA NUGRAHA,2KA19
2KA19,Kamis,Teknik Pemrog. Terstruktur **,3/4,E324,RANI PUSPITA,2KA19
2KA19,Jum'at,Praktikum Komputasi Big Data,1/2,,TIM DOSEN,2KA19
2KA20,Senin,Komputasi Big Data,,UGTV,TEAM TEACHING,2KA20
2KA20,Selasa,Manajemen & SIM 1 *,1/2,G222,CAHYAWATI DIAH KUSUMARINI,2KA20
2KA20,Selasa,Matematika Lanjut 1 */**,4/5,G132,SELI SITI SHOLIHAT,2KA20
2KA20,Selasa,Teknik Pemrog. Terstruktur **,7/8,G147,EMELLIKA RAHMAYANA,2KA20
2KA20,Rabu,Sistem Basis Data 1 **,4/5/6,G216,SUHARNI,2KA20
2KA20,Kamis,Peng. Org. & Arst Komputer,4/5,E231,SANDHI PRAJAKA,2KA20
2KA20,Kamis,Bahasa Inggris,7/8,E225,IDHA DWI PERMATASARI,2KA20
2KA20,Kamis,Matematika Sistem Informasi 1,9/10,E225,NURMA NUGRAHA,2KA20
2KA20,Jum'at,Praktikum Komputasi Big Data,1/2,,TIM DOSEN,2KA20
2KA21,Senin,Komputasi Big Data,,UGTV,TEAM TEACHING,2KA21
2KA21,Selasa,Praktikum Komputasi Big Data,8/9,,TIM DOSEN,2KA21
2KA21,Kamis,Matematika Lanjut 1 */**,3/4,A702,ADI KRESNO,2KA21
2KA21,Kamis,Sistem Basis Data 1 **,5/6/7,A702,LELY PRANANINGRUM,2KA21
2KA21,Kamis,Peng. Org. & Arst Komputer,9/10,A702,YOGI PERMADI,2KA21
2KA21,Jum'at,Matematika Sistem Informasi 1,1/2,A801,NUR SETIAWATI,2KA21
2KA21,Jum'at,Manajemen & SIM 1 *,3/4,A801,IMAM PURWANTO,2KA21
2KA21,Jum'at,Bahasa Inggris,7/8,A801,RATNA WULANDARI,2KA21
2KA21,Jum'at,Teknik Pemrog. Terstruktur **,9/10,A801,EMELLIKA RAHMAYANA,2KA21
2KA22,Senin,Komputasi Big Data,,UGTV,TEAM TEACHING,2KA22
2KA22,Selasa,Praktikum Komputasi Big Data,6/7,,TIM DOSEN,2KA22
2KA22,Kamis,Sistem Basis Data 1 **,1/2/3,A103,LELY PRANANINGRUM,2KA22
2KA22,Kamis,Peng. Org. & Arst Komputer,6/7,A103,YOGI PERMADI,2KA22
2KA22,Kamis,Matematika Lanjut 1 */**,8/9,A103,ADI KRESNO,2KA22
2KA22,Jum'at,Bahasa Inggris,1/2,A202,RATNA WULANDARI,2KA22
2KA22,Jum'at,Matematika Sistem Informasi 1,3/4,A202,NUR SETIAWATI,2KA22
2KA22,Jum'at,Teknik Pemrog. Terstruktur **,7/8,A701,EMELLIKA RAHMAYANA,2KA22
2KA22,Jum'at,Manajemen & SIM 1 *,9/10,A701,IMAM PURWANTO,2KA22
2KA23,Senin,Komputasi Big Data,,UGTV,TEAM TEACHING,2KA23
2KA23,Selasa,Praktikum Komputasi Big Data,6/7,,TIM DOSEN,2KA23
2KA23,Kamis,Matematika Sistem Informasi 1,1/2,A701,NUR SETIAWATI,2KA23
2KA23,Kamis,Peng. Org. & Arst Komputer,3/4,A701,YOGI PERMADI,2KA23
2KA23,Kamis,Matematika Lanjut 1 */**,6/7,A701,ADI KRESNO,2KA23
2KA23,Kamis,Sistem Basis Data 1 **,8/9/10,A701,LELY PRANANINGRUM,2KA23
2KA23,Jum'at,Teknik Pemrog. Terstruktur **,1/2,A702,EMELLIKA RAHMAYANA,2KA23
2KA23,Jum'at,Bahasa Inggris,3/4,A702,RATNA WULANDARI,2KA23
2KA23,Jum'at,Manajemen & SIM 1 *,7/8,A702,IMAM PURWANTO,2KA23
2KA24,Senin,Komputasi Big Data,,UGTV,TEAM TEACHING,2KA24
2KA24,Rabu,Peng. Org. & Arst Komputer,11/12,D635,AMARAN SHIDIQ,2KA24
2KA24,Jum'at,Matematika Sistem Informasi 1,11/12,D633,ARIS GUNARYATI,2KA24
2KA24,Jum'at,Matematika Lanjut 1 */**,13/14,D633,HENNY HERYANDINI,2KA24
2KA24,Sabtu,Sistem Basis Data 1 **,1/2/3,E225,SANTI WIDIANTI,2KA24
2KA24,Sabtu,Praktikum Komputasi Big Data,11/12,,TIM DOSEN,2KA24
2KA24,Sabtu,Manajemen & SIM 1 *,5/6,E328,MOHAMAD FUAD,2KA24
2KA24,Sabtu,Teknik Pemrog. Terstruktur **,7/8,E328,BAGUS SETIADI GURMILANG,2KA24
2KA24,Sabtu,Bahasa Inggris,9/10,E328,SUARDI,2KA24
2KA25,Senin,Komputasi Big Data,,UGTV,TEAM TEACHING,2KA25
2KA25,Selasa,Praktikum Komputasi Big Data,8/9,,TIM DOSEN,2KA25
2KA25,Rabu,Sistem Basis Data 1 **,2/3/4,J1316A,METTY MUSTIKASARI,2KA25
2KA25,Rabu,Bahasa Inggris,7/8,J1614,RETNO BUDI ASTUTI,2KA25
2KA25,Rabu,Peng. Org. & Arst Komputer,9/10,J1614,DEBYO SAPTONO,2KA25
2KA25,Kamis,Manajemen & SIM 1 *,1/2,J332,IRAWATY,2KA25
2KA25,Kamis,Teknik Pemrog. Terstruktur **,3/4,J332,ISNI OKTRIA,2KA25
2KA25,Jum'at,Matematika Lanjut 1 */**,3/4,J144,ACHMAD FAHRUROZI,2KA25
2KA25,Jum'at,Matematika Sistem Informasi 1,7/8,J144,ISKANDAR ZAMZANI,2KA25
2KA26,Senin,Komputasi Big Data,,UGTV,TEAM TEACHING,2KA26
2KA26,Selasa,Praktikum Komputasi Big Data,8/9,,TIM DOSEN,2KA26
2KA26,Rabu,Peng. Org. & Arst Komputer,3/4,J118,DEBYO SAPTONO,2KA26
2KA26,Rabu,Sistem Basis Data 1 **,6/7/8,J155,METTY MUSTIKASARI,2KA26
2KA26,Kamis,Manajemen & SIM 1 *,3/4,J324,IRAWATY,2KA26
2KA26,Kamis,Teknik Pemrog. Terstruktur **,6/7,J332,ISNI OKTRIA,2KA26
2KA26,Jum'at,Matematika Lanjut 1 */**,1/2,J158,ACHMAD FAHRUROZI,2KA26
2KA26,Jum'at,Matematika Sistem Informasi 1,3/4,J158,ISKANDAR ZAMZANI,2KA26
2KA26,Jum'at,Bahasa Inggris,7/8,J158,CINTANIA DHARMA B,2KA26
2KA27,Senin,Komputasi Big Data,,UGTV,TEAM TEACHING,2KA27
2KA27,Selasa,Praktikum Komputasi Big Data,8/9,,TIM DOSEN,2KA27
2KA27,Rabu,Sistem Basis Data 1 **,3/4/5,J155,RINA NOVIANA,2KA27
2KA27,Rabu,Matematika Sistem Informasi 1,7/8,J1518,SIGIT MUHAMAD YAKUB,2KA27
2KA27,Rabu,Manajemen & SIM 1 *,9/10,J1518,IRAWATY,2KA27
2KA27,Jum'at,Peng. Org. & Arst Komputer,1/2,J1510,SINDY NOVA,2KA27
2KA27,Jum'at,Matematika Lanjut 1 */**,3/4,J1510,NURMA NUGRAHA,2KA27
2KA27,Sabtu,Bahasa Inggris,3/4,J147,ZAINAL RIADI,2KA27
2KA27,Sabtu,Teknik Pemrog. Terstruktur **,5/6,J147,DIMAS NUGEROHO,2KA27
2KA28,Senin,Komputasi Big Data,,UGTV,TEAM TEACHING,2KA28
2KA28,Selasa,Praktikum Komputasi Big Data,8/9,,TIM DOSEN,2KA28
2KA28,Kamis,Bahasa Inggris,1/2,J60901,ARSIWELA,2KA28
2KA28,Kamis,Sistem Basis Data 1 **,3/4/5,J60901,METTY MUSTIKASARI,2KA28
2KA28,Kamis,Matematika Sistem Informasi 1,7/8,J60901,IAS SRI WAHYUNI,2KA28
2KA28,Kamis,Teknik Pemrog. Terstruktur **,9/10,J60901,INDAH TRI HANDAYANI,2KA28
2KA28,Jum'at,Manajemen & SIM 1 *,1/2,J1519,ERTIE NUR HARTIWATI,2KA28
2KA28,Jum'at,Peng. Org. & Arst Komputer,3/4,J1519,SINDY NOVA,2KA28
2KA28,Jum'at,Matematika Lanjut 1 */**,7/8,J1519,NURMA NUGRAHA,2KA28
2KA29,Senin,Komputasi Big Data,,UGTV,TEAM TEACHING,2KA29
2KA29,Selasa,Sistem Basis Data 1 **,8/9/10,J1311,RINA NOVIANA,2KA29
2KA29,Rabu,Peng. Org. & Arst Komputer,1/2,J124,INDAH TRI HANDAYANI,2KA29
2KA29,Rabu,Matematika Sistem Informasi 1,4/5,J1318,SIGIT MUHAMAD YAKUB,2KA29
2KA29,Rabu,Manajemen & SIM 1 *,7/8,J124,IRAWATY,2KA29
2KA29,Kamis,Praktikum Komputasi Big Data,3/4,,TIM DOSEN,2KA29
2KA29,Sabtu,Matematika Lanjut 1 */**,1/2,J123,POPONG SETIAWATI,2KA29
2KA29,Sabtu,Teknik Pemrog. Terstruktur **,3/4,J123,DIMAS NUGEROHO,2KA29
2KA29,Sabtu,Bahasa Inggris,7/8,J1318,MARTALENA BANUREA,2KA29
2KA30,Senin,Komputasi Big Data,,UGTV,TEAM TEACHING,2KA30
2KA30,Selasa,Praktikum Komputasi Big Data,8/9,,TIM DOSEN,2KA30
2KA30,Rabu,Manajemen & SIM 1 *,5/6,J1114,ERTIE NUR HARTIWATI,2KA30
2KA30,Rabu,Matematika Lanjut 1 */**,8/9,J1424,AHMAD SABRI,2KA30
2KA30,Kamis,Peng. Org. & Arst Komputer,3/4,J60902,INDAH TRI HANDAYANI,2KA30
2KA30,Kamis,Sistem Basis Data 1 **,6/7/8,J60902,METTY MUSTIKASARI,2KA30
2KA30,Kamis,Matematika Sistem Informasi 1,9/10,J60902,IAS SRI WAHYUNI,2KA30
2KA30,Sabtu,Bahasa Inggris,5/6,J1515B,ZAINAL RIADI,2KA30
2KA30,Sabtu,Teknik Pemrog. Terstruktur **,7/8,J1515B,DIMAS NUGEROHO,2KA30
2KA31,Senin,Komputasi Big Data,,UGTV,TEAM TEACHING,2KA31
2KA31,Selasa,Sistem Basis Data 1 **,1/2/3,K258,ROSDIANA,2KA31
2KA31,Selasa,Matematika Sistem Informasi 1,4/5,K246,DESTI RIMINARSIH,2KA31
2KA31,Rabu,Matematika Lanjut 1 */**,1/2,K165,DEWI PUTRIE LESTARI,2KA31
2KA31,Kamis,Bahasa Inggris,2/3,K175,ASWARINI SENTANA,2KA31
2KA31,Jum'at,Manajemen & SIM 1 *,1/2,K264,TRINI SAPTARIANI,2KA31
2KA31,Jum'at,Teknik Pemrog. Terstruktur **,3/4,K265,DETTY PURNAMASARI,2KA31
2KA31,Sabtu,Peng. Org. & Arst Komputer,3/4,K295,SYARIFAH AZHARINA SYAFRUDIN,2KA31
2KA31,Sabtu,Praktikum Komputasi Big Data,8/9,,TIM DOSEN,2KA31
2KA32,Senin,Komputasi Big Data,,UGTV,TEAM TEACHING,2KA32
2KA32,Rabu,Sistem Basis Data 1 **,1/2/3,K262,META MEYSAWATI,2KA32
2KA32,Rabu,Matematika Lanjut 1 */**,4/5,K165,DEWI PUTRIE LESTARI,2KA32
2KA32,Rabu,Teknik Pemrog. Terstruktur **,6/7,K264,NELLY SOFI,2KA32
2KA32,Kamis,Matematika Sistem Informasi 1,3/4,K131,ACHMAD FAHRUROZI,2KA32
2KA32,Kamis,Bahasa Inggris,5/6,K175,ASWARINI SENTANA,2KA32
2KA32,Jum'at,Manajemen & SIM 1 *,3/4,K264,TRINI SAPTARIANI,2KA32
2KA32,Sabtu,Praktikum Komputasi Big Data,3/4,,TIM DOSEN,2KA32
2KA32,Sabtu,Peng. Org. & Arst Komputer,6/7,K295,SYARIFAH AZHARINA SYAFRUDIN,2KA32
2KA33,Senin,Komputasi Big Data,,UGTV,TEAM TEACHING,2KA33
2KA33,Selasa,Peng. Org. & Arst Komputer,1/2,K247,DIANA IKASARI,2KA33
2KA33,Selasa,Manajemen & SIM 1 *,3/4,K255,HENNY MEDYAWATI,2KA33
2KA33,Selasa,Matematika Sistem Informasi 1,6/7,K282,NURMA NUGRAHA,2KA33
2KA33,Rabu,Teknik Pemrog. Terstruktur **,1/2,K264,NELLY SOFI,2KA33
2KA33,Rabu,Sistem Basis Data 1 **,4/5/6,K262,META MEYSAWATI,2KA33
2KA33,Kamis,Bahasa Inggris,5/6,K175,ASWARINI SENTANA,2KA33
2KA33,Jumat,Praktikum Komputasi Big Data,6/7,,TIM DOSEN,2KA33
2KA33,Sabtu,Matematika Lanjut 1 */**,3/4,K254,ELLYSA,2KA33
2KA34,Senin,Komputasi Big Data,,UGTV,TEAM TEACHING,2KA34
2KA34,Selasa,Peng. Org. & Arst Komputer,4/5,L226,NOVRINA,2KA34
2KA34,Selasa,Praktikum Komputasi Big Data,8/9,,TIM DOSEN,2KA34
2KA34,Rabu,Matematika Lanjut 1 */**,2/3,L245,M. ABDUL RIVAI,2KA34
2KA34,Rabu,Manajemen & SIM 1 *,5/6,L246,CAHYAWATI DIAH KUSUMARINI,2KA34
2KA34,Jum'at,Sistem Basis Data 1 **,2/3/4,L224,ONNY MARLEEN,2KA34
2KA34,Jum'at,Matematika Sistem Informasi 1,7/8,L224,BAMBANG DWINANTO,2KA34
2KA34,Sabtu,Teknik Pemrog. Terstruktur **,1/2,L223,SITI SAIDAH,2KA34
2KA34,Sabtu,Bahasa Inggris,4/5,L226,AULIA HARIS FIRSTIYANTI,2KA34
2KA35,Selasa,Praktikum Komputasi Big Data,3/4,,TIM DOSEN,2KA35
3KA01,Selasa,Interaksi Manusia & Komputer*/**,4/5/6,E317,FEBRIANI,3KA01
3KA01,Selasa,Konsep Data Mining,9/10,E317,KOKO BACHRUDIN,3KA01
3KA01,Rabu,Sistem Keamanan Tek. Informasi *,1/2/3,E514,RODIAH,3KA01
3KA01,Rabu,Statistika **,4/5/6,E514,PENI SAWITRI,3KA01
3KA01,Rabu,Graf & Analisis Algoritma,8/9/10,E425,BUDI SETIAWAN2/TEGUH YUNIARKO,3KA01
3KA01,Kamis,Metode Penelitian,1/2,E318,TEDDY OSWARI,3KA01
3KA01,Kamis,Pemrograman Berbasis Web **,3/4,E318,REVIDA IRIANA NAPITUPULU,3KA01
3KA01,Kamis,Jejaring Sosial&Konten Kreatif,6/7,E414,JULIA FAJARYANTI,3KA01
3KA01,Kamis,Bahasa Indonesia 2,9/10,E314,ROSI ROSIDAH,3KA01
3KA02,Senin,Metode Penelitian,1/2,E441,PUJI RAHAYU SETYANINGSIH,3KA02
3KA02,Senin,Graf & Analisis Algoritma,5/6/7,E331,TEGUH YUNIARKO,3KA02
3KA02,Senin,Sistem Keamanan Tek. Informasi *,8/9/10,E331,CUT MAISYARAH KARYATI,3KA02
3KA02,Selasa,Interaksi Manusia & Komputer*/**,1/2/3,E313,FEBRIANI,3KA02
3KA02,Selasa,Jejaring Sosial&Konten Kreatif,4/5,E313,JALINAS/SAYIDATI KARIMA,3KA02
3KA02,Selasa,Bahasa Indonesia 2,7/8,E449,ANDINI KURNIA FITRIANA,3KA02
3KA02,Rabu,Statistika **,1/2/3,E513,PENI SAWITRI,3KA02
3KA02,Rabu,Pemrograman Berbasis Web **,5/6,E122,BERTALYA,3KA02
3KA02,Rabu,Konsep Data Mining,7/8,E122,TUBAGUS MAULANA KUSUMA,3KA02
3KA03,Senin,Graf & Analisis Algoritma,1/2/3,E522,NURWENDO HARICAHYADI,3KA03
3KA03,Senin,Statistika **,4/5/6,E522,SRI RAKHMAWATI,3KA03
3KA03,Senin,Metode Penelitian,9/10,E516,MUFID SURYANI,3KA03
3KA03,Rabu,Interaksi Manusia & Komputer*/**,1/2/3,E217,FENNI AGUSTINA,3KA03
3KA03,Rabu,Pemrograman Berbasis Web **,5/6,E321,RHEZA ANDIKA,3KA03
3KA03,Rabu,Sistem Keamanan Tek. Informasi *,7/8/9,E217,ASTIE DARMAYANTIE,3KA03
3KA03,Sabtu,Jejaring Sosial&Konten Kreatif,4/5,G315,NOVIA FATIMAH,3KA03
3KA03,Sabtu,Konsep Data Mining,6/7,G315,SILVIA HARLENA,3KA03
3KA03,Sabtu,Bahasa Indonesia 2,8/9,G315,MARGARETHA SUMARWATI,3KA03
3KA04,Senin,Pemrograman Berbasis Web **,1/2,E449,DEWI ANGGRAINI PUSPA HAPSARI,3KA04
3KA04,Senin,Jejaring Sosial&Konten Kreatif,3/4,E449,DIANA IKASARI,3KA04
3KA04,Senin,Statistika **,6/7/8,E325,RETNO MAHARESI,3KA04
3KA04,Senin,Bahasa Indonesia 2,9/10,E325,ANDINI KURNIA FITRIANA,3KA04
3KA04,Selasa,Metode Penelitian,1/2,E227,IKHWAN H S,3KA04
3KA04,Selasa,Graf & Analisis Algoritma,4/5/6,E122,AVINANTA TARIGAN,3KA04
3KA04,Selasa,Konsep Data Mining,7/8,E122,KOKO BACHRUDIN,3KA04
3KA04,Rabu,Sistem Keamanan Tek. Informasi *,4/5/6,E211,ASTIE DARMAYANTIE,3KA04
3KA04,Rabu,Interaksi Manusia & Komputer*/**,7/8/9,E211,TAUFIK HIDAYAT,3KA04
3KA05,Senin,Statistika **,1/2/3,E347,SRI RAKHMAWATI,3KA05
3KA05,Senin,Sistem Keamanan Tek. Informasi *,5/6/7,E333,CUT MAISYARAH KARYATI,3KA05
3KA05,Senin,Jejaring Sosial&Konten Kreatif,9/10,E337,DIANA IKASARI,3KA05
3KA05,Rabu,Bahasa Indonesia 2,1/2,E223,SITI PUJIANTI,3KA05
3KA05,Rabu,Interaksi Manusia & Komputer*/**,4/5/6,E218,FENNI AGUSTINA,3KA05
3KA05,Rabu,Pemrograman Berbasis Web **,9/10,E321,BERTALYA,3KA05
3KA05,Sabtu,Konsep Data Mining,1/2,E245,SILVIA HARLENA,3KA05
3KA05,Sabtu,Graf & Analisis Algoritma,4/5/6,E245,WINARTI DWI ASTUTI,3KA05
3KA05,Sabtu,Metode Penelitian,7/8,E245,RIRIN YULIYANTI,3KA05
3KA06,Senin,Graf & Analisis Algoritma,1/2/3,E343,TEGUH YUNIARKO,3KA06
3KA06,Selasa,Konsep Data Mining,3/4,E321,TUBAGUS MAULANA KUSUMA,3KA06
3KA06,Selasa,Statistika **,6/7/8,E522,THOMAS YUNI GUNARTO,3KA06
3KA06,Selasa,Jejaring Sosial&Konten Kreatif,9/10,E522,JALINAS/SAYIDATI KARIMA,3KA06
3KA06,Kamis,Bahasa Indonesia 2,3/4,E522,ARI WIJAYA BASUKI RAHARJO,3KA06
3KA06,Kamis,Interaksi Manusia & Komputer*/**,5/6/7,E311,MARLIZA GANEFI GUMAY,3KA06
3KA06,Sabtu,Metode Penelitian,1/2,E347,MUHAMMAD FIRDAUS,3KA06
3KA06,Sabtu,Sistem Keamanan Tek. Informasi *,3/4/5,E347,SYALIS IBNIH MELATI ISTINI,3KA06
